id,gene_name
60,RHO
59,TACR1
58,CXCR1
57,ADRB2
56,ADRB1
55,ADORA2A
54,CXCR4
53,DRD3
52,HRH1
51,CHRM2
50,S1PR1
49,F2R
48,Ntsr1
47,Chrm3
46,OPRK1
45,Oprm1
44,OPRL1
43,Oprd1
42,HTR1B
41,HTR2B
40,SMO
39,CRHR1
38,GCGR
37,CCR5
36,OPRD1
35,P2RY12
34,GRM5
33,GRM1
32,FFAR1
31,HCRTR2
30,P2RY1
29,US28
28,AGTR1
27,LPAR1
26,HCRTR1
25,CHRM1
24,CHRM4
23,EDNRB
22,CCR9
21,ADORA1
20,F2RL1
19,GLP1R
18,C5AR1
17,CCR2
16,CNR1
15,AGTR2
14,CALCR
13,APLNR
12,DRD4
11,PTGER4
10,NPY1R
9,PTAFR
8,PTGER3
7,FZD4
6,HTR2C
5,DRD2
4,PTGDR2
3,CALCRL
2,PTH1R
1,TBXA2R
