id,gene_name
60,TBXA2R
59,PTH1R
58,CALCRL
57,PTGDR2
56,DRD2
55,HTR2C
54,FZD4
53,PTGER3
52,PTAFR
51,NPY1R
50,PTGER4
49,DRD4
48,APLNR
47,CALCR
46,AGTR2
45,CNR1
44,CCR2
43,C5AR1
42,GLP1R
41,F2RL1
40,ADORA1
39,CCR9
38,EDNRB
37,CHRM4
36,CHRM1
35,HCRTR1
34,LPAR1
33,AGTR1
32,US28
31,P2RY1
30,HCRTR2
29,FFAR1
28,GRM1
27,GRM5
26,P2RY12
25,OPRD1
24,CCR5
23,GCGR
22,CRHR1
21,SMO
20,HTR2B
19,HTR1B
18,Oprd1
17,OPRL1
16,Oprm1
15,OPRK1
14,Chrm3
13,Ntsr1
12,F2R
11,S1PR1
10,CHRM2
9,HRH1
8,DRD3
7,CXCR4
6,ADORA2A
5,ADRB1
4,ADRB2
3,CXCR1
2,TACR1
1,RHO
