id,gpcr,ligand
,1,1
,1,2
,1,3
,1,4
,1,5
,2,6
,2,7
,2,8
,2,9
,2,2
,2,10
,2,11
,2,3
,2,4
,3,6
,3,12
,3,1
,3,13
,3,5
,3,2
,3,11
,3,3
,3,4
,3,7
,4,3
,5,6
,5,12
,5,1
,5,13
,5,5
,5,2
,5,11
,5,3
,5,4
,6,3
,7,6
,7,1
,7,14
,7,5
,7,2
,7,11
,7,3
,7,4
,7,7
,7,13
,8,6
,8,1
,8,14
,8,5
,8,2
,8,11
,8,3
,8,4
,8,7
,8,13
,9,6
,9,1
,9,14
,9,5
,9,2
,9,11
,9,3
,9,4
,9,7
,9,13
,10,6
,10,7
,10,2
,10,11
,10,3
,11,6
,11,5
,11,2
,11,11
,12,6
,12,5
,12,2
,12,7
,12,15
,13,6
,13,2
,13,3
,18,6
,18,1
,18,14
,18,5
,18,2
,18,11
,18,3
,18,4
,18,7
,18,13
,21,16
,21,17
,21,18
,21,19
,21,20
,21,21
,21,11
,21,22
,22,23
,22,24
,22,25
,23,6
,23,26
,23,7
,23,27
,23,28
,23,5
,23,2
,23,10
,23,11
,23,3
,24,29
,24,30
,24,31
,25,29
,25,30
,25,31
,26,29
,26,32
,26,31
,27,29
,27,33
,27,31
,28,29
,28,34
,28,31
,29,29
,29,19
,30,24
,30,25
,31,24
,31,25
,32,35
,32,25
,33,36
,33,25
,34,37
,34,25
,35,27
,35,11
,35,3
,35,38
,35,39
,35,22
,36,11
,36,3
,37,27
,37,11
,37,3
,37,39
,37,22
,38,11
,38,3
,38,27
,38,39
,38,22
,39,6
,39,7
,39,8
,39,9
,39,2
,39,10
,39,11
,39,3
,39,4
,40,6
,40,2
,40,3
,41,40
,41,7
,41,2
,41,11
,42,20
,42,41
,42,42
,43,7
,43,27
,43,5
,43,2
,43,11
,44,22
,44,43
,44,44
,45,22
,46,20
,46,45
,46,46
,46,41
,46,47
,47,20
,47,48
,47,41
,48,20
,48,49
,49,50
,49,6
,49,7
,49,1
,49,14
,49,51
,49,2
,49,11
,49,3
,49,4
,49,13
,49,5
,50,52
,50,46
,50,41
,51,53
,51,54
,51,55
,52,56
,52,52
,52,41
,53,52
,54,52
,55,57
,56,58
,56,21
,57,20
,57,59
,57,22
,58,26
,58,7
,58,27
,58,5
,58,2
,58,11
,58,3
,58,22
,58,60
,59,44
,60,7
,60,27
,60,5
,60,2
,60,11
,60,3
,61,41
,61,61
,62,62
,63,63
,64,64
,64,65
,64,41
,64,66
,65,57
,66,67
,66,68
,66,69
,67,70
,68,71
,69,72
,69,2
,70,72
,70,2
,71,73
,71,43
,71,44
,72,44
,73,68
,73,41
,73,74
,74,75
,75,29
,75,76
,75,31
,76,29
,76,77
,76,31
,77,6
,77,26
,77,27
,77,2
,77,11
,77,3
,78,29
,78,78
,79,29
,79,79
,80,6
,80,26
,80,7
,80,27
,80,5
,80,2
,80,11
,80,22
,81,6
,81,26
,81,7
,81,27
,81,5
,81,2
,81,11
,81,22
,82,75
,84,80
,84,41
,84,24
,86,81
,86,66
,87,82
,87,83
,87,41
,87,84
,88,85
,88,86
,88,68
,88,20
,88,87
,88,22
,89,88
,89,46
,89,89
,89,41
,90,20
,90,46
,90,89
,90,41
,90,84
,90,44
,91,90
,92,19
,94,91
,95,92
,96,93
,96,89
,97,20
,97,93
,97,46
,97,89
,97,41
,97,84
,97,11
,98,26
,98,7
,98,27
,98,5
,98,2
,98,11
,98,22
,98,60
,99,94
,99,46
,99,41
,99,84
,99,95
,99,47
,100,96
,100,46
,100,41
,100,22
,100,85
,100,97
,101,84
,102,98
,102,57
,103,98
,103,99
,104,98
,104,100
,105,101
,105,41
,105,4
,106,102
,107,103
,107,102
,108,7
,108,5
,108,2
,108,41
,108,84
,108,95
,108,104
,108,4
,109,90
,109,46
,109,41
,109,47
,109,105
,110,20
,110,106
,110,93
,110,46
,110,41
,110,84
,110,11
,110,107
,111,108
,111,20
,111,41
,112,109
,113,110
,113,111
,113,46
,113,112
,114,20
,114,113
,114,46
,114,41
,114,66
,115,85
,115,114
,115,115
,115,41
,116,26
,116,7
,116,27
,116,5
,116,2
,116,11
,116,22
,116,60
,117,116
,117,20
,117,41
,117,84
,118,117
,118,41
,119,118
,119,4
,120,119
,121,120
,122,41
,122,121
,122,122
,122,123
,123,46
,123,41
,123,121
,123,122
,123,123
,125,46
,125,124
,126,81
,127,81
,127,125
,127,126
,127,41
,128,127
,128,126
,129,128
,129,89
,130,128
,131,27
,131,11
,131,3
,131,38
,131,39
,131,22
,132,7
,132,12
,132,2
,132,11
,133,85
,133,91
,133,129
,133,84
,134,82
,134,91
,134,56
,134,84
,135,85
,135,130
,135,20
,135,41
,135,31
,135,4
,136,131
,136,4
,137,20
,137,41
,137,132
,137,133
,138,66
,138,2
,138,133
,139,134
,140,98
,140,135
,141,98
,141,136
,142,98
,142,137
,143,96
,143,46
,143,22
,144,46
,144,124
,145,138
,145,46
,146,139
,148,80
,148,41
,148,140
,149,141
,149,20
,149,41
,149,125
,149,66
,149,112
,150,142
,150,111
,150,46
,151,143
,151,46
,152,81
,152,144
,152,56
,152,47
,152,31
,153,16
,153,17
,153,18
,153,19
,153,20
,153,145
,153,11
,153,22
,154,17
,154,18
,154,19
,154,20
,154,145
,154,11
,154,22
,155,16
,155,17
,155,18
,155,19
,155,20
,155,145
,155,11
,155,22
,157,146
,157,46
,157,41
,158,147
,158,46
,158,41
,159,81
,159,148
,159,46
,159,41
,159,125
,159,149
,160,6
,160,26
,160,7
,160,27
,160,5
,160,2
,160,11
,160,3
,160,22
,161,150
,161,46
,161,151
,161,105
,162,6
,162,26
,162,7
,162,27
,162,5
,162,2
,162,11
,162,3
,162,22
,163,24
,164,37
,164,25
,164,152
,166,46
,166,41
,166,22
,167,20
,167,46
,167,89
,167,41
,167,44
,168,153
,168,20
,168,46
,168,89
,168,41
,169,154
,169,20
,169,13
,169,46
,169,89
,169,41
,170,155
,170,20
,170,46
,170,89
,171,156
,171,20
,171,46
,171,89
,171,41
,172,19
,172,20
,173,20
,173,157
,173,46
,173,89
,173,41
,173,84
,173,44
,174,20
,174,46
,174,41
,174,84
,174,44
,175,20
,175,46
,175,89
,175,41
,175,44
,176,20
,176,46
,176,41
,176,84
,176,44
,177,20
,177,46
,177,89
,177,41
,177,84
,177,44
,178,158
,179,20
,179,2
,180,2
,180,159
,180,87
,181,160
,181,20
,181,161
,181,46
,182,20
,182,46
,182,41
,182,162
,183,63
,183,20
,183,46
,183,41
,183,126
,184,163
,184,20
,184,46
,184,41
,184,126
,185,164
,185,22
,186,165
,186,66
,187,166
,189,20
,189,46
,189,44
,190,20
,190,46
,190,89
,190,41
,190,44
,191,20
,191,46
,191,44
,192,2
,192,25
,192,167
,192,168
,192,169
,192,170
,192,171
,193,172
,193,46
,193,105
,193,82
,194,82
,194,20
,194,46
,194,41
,194,173
,194,44
,195,174
,195,20
,195,46
,195,41
,196,175
,196,20
,196,46
,196,41
,197,176
,197,20
,197,46
,197,41
,198,20
,198,46
,198,41
,198,47
,198,71
,198,126
,199,68
,199,20
,199,46
,199,41
,199,71
,193,20
,193,46
,193,41
,193,71
,201,56
,201,84
,201,177
,202,178
,202,41
,202,22
,202,179
,202,112
,202,4
,203,7
,203,27
,203,5
,203,2
,203,11
,203,22
,204,180
,204,6
,205,181
,205,46
,205,41
,205,84
,205,182
,206,93
,207,183
,207,20
,207,41
,207,84
,207,66
,208,85
,208,184
,208,161
,208,41
,209,185
,209,184
,209,41
,210,186
,210,84
,210,22
,211,187
,211,46
,212,188
,212,148
,212,111
,213,46
,213,41
,213,4
,213,133
,214,189
,215,189
,215,46
,215,41
,216,190
,217,20
,217,46
,217,41
,217,44
,219,191
,220,192
,220,181
,220,2
,221,192
,221,181
,221,41
,223,193
,223,194
,223,195
,223,196
,223,197
,223,41
,223,4
,224,198
,224,199
,224,46
,224,41
,225,193
,225,199
,226,20
,226,46
,226,89
,226,41
,226,44
,227,2
,227,201
,227,202
,229,20
,229,41
,229,112
,229,111
,229,4
,229,133
,230,41
,230,61
,231,41
,231,61
,232,203
,232,56
,232,46
,232,84
,232,66
,233,203
,233,46
,233,84
,233,66
,234,7
,234,27
,234,5
,234,2
,234,60
,234,22
,235,85
,235,204
,235,46
,236,85
,236,204
,236,46
,237,205
,237,17
,237,18
,237,19
,237,20
,237,91
,238,20
,238,206
,238,41
,238,22
,239,193
,239,2
,240,193
,240,2
,241,207
,242,208
,242,22
,243,209
,243,20
,243,181
,243,84
,244,210
,244,20
,244,181
,244,46
,244,41
,244,84
,245,127
,245,1
,246,211
,247,2
,247,41
,247,66
,248,212
,249,213
,250,214
,251,215
,251,21
,251,95
,251,82
,251,125
,252,69
,253,127
,254,216
,255,127
,256,217
,256,181
,257,218
,257,41
,257,4
,257,22
,258,219
,258,220
,259,221
,259,222
,259,4
,260,223
,260,41
,260,4
,261,20
,261,46
,261,89
,261,41
,261,44
,263,20
,263,224
,263,46
,264,46
,264,41
,264,22
,264,4
,265,93
,265,41
,266,225
,266,46
,266,41
,266,84
,267,172
,267,112
,267,6
,267,226
,267,227
,268,228
,268,161
,268,46
,268,41
,268,47
,268,112
,268,6
,268,226
,268,227
,269,229
,269,46
,269,84
,270,2
,271,230
,271,46
,271,47
,271,231
,271,132
,271,22
,271,112
,272,232
,272,111
,272,46
,272,84
,272,47
,272,231
,272,22
,272,112
,273,36
,274,233
,274,234
,274,235
,275,233
,275,234
,275,235
,276,20
,276,236
,276,41
,277,20
,277,237
,277,46
,277,41
,277,84
,277,66
,278,20
,278,238
,278,46
,278,41
,278,84
,278,66
,279,20
,279,239
,279,41
,279,84
,280,123
,281,240
,282,241
,282,111
,282,46
,282,41
,282,112
,283,242
,283,111
,283,46
,283,112
,284,243
,284,7
,284,68
,284,244
,284,5
,284,2
,284,46
,284,95
,284,112
,284,245
,284,246
,284,195
,284,123
,284,196
,285,6
,285,7
,285,27
,285,247
,285,5
,285,2
,285,11
,286,6
,286,7
,286,27
,286,248
,286,5
,286,2
,286,11
,287,6
,287,7
,287,27
,287,249
,287,5
,287,2
,287,11
,288,6
,288,7
,288,27
,288,250
,288,5
,288,2
,288,11
,289,6
,289,7
,289,27
,289,251
,289,5
,289,2
,289,11
,290,6
,290,7
,290,27
,290,252
,290,5
,290,2
,290,11
,291,6
,291,7
,291,27
,291,253
,291,5
,291,2
,291,11
,292,6
,292,7
,292,27
,292,254
,292,5
,292,2
,292,11
,293,2
,293,3
,294,255
,295,37
,296,256
,296,4
,297,256
,297,46
,297,4
,298,29
,298,33
,299,29
,299,30
,300,29
,300,34
,301,29
,301,257
,302,29
,302,24
,303,29
,303,258
,304,82
,304,41
,305,82
,305,41
,305,22
,305,132
,306,259
,306,20
,306,56
,306,41
,306,4
,307,260
,307,20
,307,56
,307,4
,308,261
,308,46
,308,41
,308,22
,309,262
,309,263
,309,7
,309,5
,309,2
,310,262
,310,263
,310,7
,310,5
,310,2
,311,13
,311,264
,311,265
,311,266
,311,46
,311,41
,311,267
,311,112
