id,gpcr1,gpcr2,sequence
,1F88,1F88,
,1F88,1GZM,
,1F88,1HZX,
,1F88,1JFP,
,1F88,1L9H,
,1F88,1LN6,
,1F88,1U19,
,1F88,2G87,
,1F88,2HPY,
,1F88,2I35,
,1F88,2I36,
,1F88,2I37,
,1F88,2J4Y,
,1F88,2KS9,
,1F88,2KSA,
,1F88,2KSB,
,1F88,2LNL,
,1F88,2PED,
,1F88,2R4R,
,1F88,2R4S,
,1F88,2RH1,
,1F88,2VT4,
,1F88,2X72,
,1F88,2Y00,
,1F88,2Y01,
,1F88,2Y02,
,1F88,2Y03,
,1F88,2Y04,
,1F88,2YCW,
,1F88,2YCX,
,1F88,2YCY,
,1F88,2YCZ,
,1F88,2YDO,
,1F88,2YDV,
,1F88,2Z73,
,1F88,2ZIY,
,1F88,3AYM,
,1F88,3AYN,
,1F88,3C9L,
,1F88,3C9M,
,1F88,3CAP,
,1F88,3D4S,
,1F88,3DQB,
,1F88,3EML,
,1F88,3KJ6,
,1F88,3NY8,
,1F88,3NY9,
,1F88,3NYA,
,1F88,3OAX,
,1F88,3ODU,
,1F88,3OE0,
,1F88,3OE6,
,1F88,3OE8,
,1F88,3OE9,
,1F88,3P0G,
,1F88,3PBL,
,1F88,3PDS,
,1F88,3PQR,
,1F88,3PWH,
,1F88,3PXO,
,1F88,3QAK,
,1F88,3REY,
,1F88,3RFM,
,1F88,3RZE,
,1F88,3SN6,
,1F88,3UON,
,1F88,3UZA,
,1F88,3UZC,
,1F88,3V2W,
,1F88,3V2Y,
,1F88,3VG9,
,1F88,3VGA,
,1F88,3VW7,
,1F88,3ZEV,
,1F88,3ZPQ,
,1F88,3ZPR,
,1F88,4A4M,
,1F88,4AMI,
,1F88,4AMJ,
,1F88,4BEY,
,1F88,4BEZ,
,1F88,4BUO,
,1F88,4BV0,
,1F88,4BVN,
,1F88,4BWB,
,1F88,4DAJ,
,1F88,4DJH,
,1F88,4DKL,
,1F88,4EA3,
,1F88,4EIY,
,1F88,4EJ4,
,1F88,4GBR,
,1F88,4GPO,
,1F88,4GRV,
,1F88,4IAQ,
,1F88,4IAR,
,1F88,4IB4,
,1F88,4J4Q,
,1F88,4JKV,
,1F88,4K5Y,
,1F88,4L6R,
,1F88,4LDE,
,1F88,4LDL,
,1F88,4LDO,
,1F88,4MBS,
,1F88,4MQS,
,1F88,4MQT,
,1F88,4N4W,
,1F88,4N6H,
,1F88,4NC3,
,1F88,4NTJ,
,1F88,4O9R,
,1F88,4OO9,
,1F88,4OR2,
,1F88,4PHU,
,1F88,4PXF,
,1F88,4PXZ,
,1F88,4PY0,
,1F88,4QIM,
,1F88,4QIN,
,1F88,4QKX,
,1F88,4RWA,
,1F88,4RWD,
,1F88,4RWS,
,1F88,4S0V,
,1F88,4U14,
,1F88,4U15,
,1F88,4U16,
,1F88,4UG2,
,1F88,4UHR,
,1F88,4WW3,
,1F88,4X1H,
,1F88,4XEE,
,1F88,4XES,
,1F88,4XNV,
,1F88,4XNW,
,1F88,4XT1,
,1F88,4XT3,
,1F88,4YAY,
,1F88,4Z34,
,1F88,4Z35,
,1F88,4Z36,
,1F88,4Z9G,
,1F88,4ZJ8,
,1F88,4ZJC,
,1F88,4ZUD,
,1F88,4ZWJ,
,1F88,5A8E,
,1F88,5C1M,
,1F88,5CGC,
,1F88,5CGD,
,1F88,5CXV,
,1F88,5D5A,
,1F88,5D5B,
,1F88,5D6L,
,1F88,5DGY,
,1F88,5DHG,
,1F88,5DHH,
,1F88,5DSG,
,1F88,5DYS,
,1F88,5EE7,
,1F88,5EN0,
,1F88,5F8U,
,1F88,5G53,
,1F88,5GLH,
,1F88,5GLI,
,1F88,5IU4,
,1F88,5IU7,
,1F88,5IU8,
,1F88,5IUA,
,1F88,5IUB,
,1F88,5JQH,
,1F88,5JTB,
,1F88,5K2A,
,1F88,5K2B,
,1F88,5K2C,
,1F88,5K2D,
,1F88,5KW2,
,1F88,5L7D,
,1F88,5L7I,
,1F88,5LWE,
,1F88,5MZJ,
,1F88,5MZP,
,1F88,5N2R,
,1F88,5N2S,
,1F88,5NDD,
,1F88,5NDZ,
,1F88,5NJ6,
,1F88,5NLX,
,1F88,5NM2,
,1F88,5NM4,
,1F88,5NX2,
,1F88,5O9H,
,1F88,5OLG,
,1F88,5OLH,
,1F88,5OLO,
,1F88,5OLV,
,1F88,5OLZ,
,1F88,5OM1,
,1F88,5OM4,
,1F88,5T04,
,1F88,5T1A,
,1F88,5TE3,
,1F88,5TE5,
,1F88,5TGZ,
,1F88,5TUD,
,1F88,5TVN,
,1F88,5TZR,
,1F88,5TZY,
,1F88,5U09,
,1F88,5UEN,
,1F88,5UIG,
,1F88,5UIW,
,1F88,5UNF,
,1F88,5UNG,
,1F88,5UNH,
,1F88,5UVI,
,1F88,5UZ7,
,1F88,5V54,
,1F88,5V56,
,1F88,5V57,
,1F88,5VAI,
,1F88,5VBL,
,1F88,5VEW,
,1F88,5VEX,
,1F88,5VRA,
,1F88,5W0P,
,1F88,5WB1,
,1F88,5WB2,
,1F88,5WF5,
,1F88,5WF6,
,1F88,5WIU,
,1F88,5WIV,
,1F88,5WKT,
,1F88,5WQC,
,1F88,5WS3,
,1F88,5X7D,
,1F88,5X93,
,1F88,5XEZ,
,1F88,5XF1,
,1F88,5XJM,
,1F88,5XPR,
,1F88,5XR8,
,1F88,5XRA,
,1F88,5YC8,
,1F88,5YHL,
,1F88,5YQZ,
,1F88,5YWY,
,1F88,5ZBH,
,1F88,5ZBQ,
,1F88,5ZHP,
,1F88,5ZK3,
,1F88,5ZK8,
,1F88,5ZKB,
,1F88,5ZKC,
,1F88,5ZKP,
,1F88,5ZKQ,
,1F88,6AK3,
,1F88,6AKX,
,1F88,6AKY,
,1F88,6AQF,
,1F88,6B3J,
,1F88,6B73,
,1F88,6BD4,
,1F88,6BQG,
,1F88,6BQH,
,1F88,6C1Q,
,1F88,6C1R,
,1F88,6CM4,
,1F88,6CMO,
,1F88,6D26,
,1F88,6D27,
,1F88,6D9H,
,1F88,6DDE,
,1F88,6DDF,
,1F88,6DRX,
,1F88,6DRY,
,1F88,6DRZ,
,1F88,6DS0,
,1F88,6E3Y,
,1F88,6E+59,
,1F88,6FFH,
,1F88,6FFI,
,1F88,6FJ3,
,1F88,6FK6,
,1F88,6FK7,
,1F88,6FK8,
,1F88,6FK9,
,1F88,6FKA,
,1F88,6FKB,
,1F88,6FKC,
,1F88,6FKD,
,1F88,6FUF,
,1F88,6G79,
,1F88,6GDG,
,1F88,6GPS,
,1F88,6GPX,
,1F88,6H7J,
,1F88,6H7L,
,1F88,6H7M,
,1F88,6H7N,
,1F88,6H7O,
,1F88,6IBL,
,1F88,6IGK,
,1F88,6IGL,
,1F88,6IIU,
,1F88,6IIV,
,1F88,6M9T,
,1F88,6MEO,
,1F88,6MET,
,1F88,6MXT,
,1GZM,1F88,
,1GZM,1GZM,
,1GZM,1HZX,
,1GZM,1JFP,
,1GZM,1L9H,
,1GZM,1LN6,
,1GZM,1U19,
,1GZM,2G87,
,1GZM,2HPY,
,1GZM,2I35,
,1GZM,2I36,
,1GZM,2I37,
,1GZM,2J4Y,
,1GZM,2KS9,
,1GZM,2KSA,
,1GZM,2KSB,
,1GZM,2LNL,
,1GZM,2PED,
,1GZM,2R4R,
,1GZM,2R4S,
,1GZM,2RH1,
,1GZM,2VT4,
,1GZM,2X72,
,1GZM,2Y00,
,1GZM,2Y01,
,1GZM,2Y02,
,1GZM,2Y03,
,1GZM,2Y04,
,1GZM,2YCW,
,1GZM,2YCX,
,1GZM,2YCY,
,1GZM,2YCZ,
,1GZM,2YDO,
,1GZM,2YDV,
,1GZM,2Z73,
,1GZM,2ZIY,
,1GZM,3AYM,
,1GZM,3AYN,
,1GZM,3C9L,
,1GZM,3C9M,
,1GZM,3CAP,
,1GZM,3D4S,
,1GZM,3DQB,
,1GZM,3EML,
,1GZM,3KJ6,
,1GZM,3NY8,
,1GZM,3NY9,
,1GZM,3NYA,
,1GZM,3OAX,
,1GZM,3ODU,
,1GZM,3OE0,
,1GZM,3OE6,
,1GZM,3OE8,
,1GZM,3OE9,
,1GZM,3P0G,
,1GZM,3PBL,
,1GZM,3PDS,
,1GZM,3PQR,
,1GZM,3PWH,
,1GZM,3PXO,
,1GZM,3QAK,
,1GZM,3REY,
,1GZM,3RFM,
,1GZM,3RZE,
,1GZM,3SN6,
,1GZM,3UON,
,1GZM,3UZA,
,1GZM,3UZC,
,1GZM,3V2W,
,1GZM,3V2Y,
,1GZM,3VG9,
,1GZM,3VGA,
,1GZM,3VW7,
,1GZM,3ZEV,
,1GZM,3ZPQ,
,1GZM,3ZPR,
,1GZM,4A4M,
,1GZM,4AMI,
,1GZM,4AMJ,
,1GZM,4BEY,
,1GZM,4BEZ,
,1GZM,4BUO,
,1GZM,4BV0,
,1GZM,4BVN,
,1GZM,4BWB,
,1GZM,4DAJ,
,1GZM,4DJH,
,1GZM,4DKL,
,1GZM,4EA3,
,1GZM,4EIY,
,1GZM,4EJ4,
,1GZM,4GBR,
,1GZM,4GPO,
,1GZM,4GRV,
,1GZM,4IAQ,
,1GZM,4IAR,
,1GZM,4IB4,
,1GZM,4J4Q,
,1GZM,4JKV,
,1GZM,4K5Y,
,1GZM,4L6R,
,1GZM,4LDE,
,1GZM,4LDL,
,1GZM,4LDO,
,1GZM,4MBS,
,1GZM,4MQS,
,1GZM,4MQT,
,1GZM,4N4W,
,1GZM,4N6H,
,1GZM,4NC3,
,1GZM,4NTJ,
,1GZM,4O9R,
,1GZM,4OO9,
,1GZM,4OR2,
,1GZM,4PHU,
,1GZM,4PXF,
,1GZM,4PXZ,
,1GZM,4PY0,
,1GZM,4QIM,
,1GZM,4QIN,
,1GZM,4QKX,
,1GZM,4RWA,
,1GZM,4RWD,
,1GZM,4RWS,
,1GZM,4S0V,
,1GZM,4U14,
,1GZM,4U15,
,1GZM,4U16,
,1GZM,4UG2,
,1GZM,4UHR,
,1GZM,4WW3,
,1GZM,4X1H,
,1GZM,4XEE,
,1GZM,4XES,
,1GZM,4XNV,
,1GZM,4XNW,
,1GZM,4XT1,
,1GZM,4XT3,
,1GZM,4YAY,
,1GZM,4Z34,
,1GZM,4Z35,
,1GZM,4Z36,
,1GZM,4Z9G,
,1GZM,4ZJ8,
,1GZM,4ZJC,
,1GZM,4ZUD,
,1GZM,4ZWJ,
,1GZM,5A8E,
,1GZM,5C1M,
,1GZM,5CGC,
,1GZM,5CGD,
,1GZM,5CXV,
,1GZM,5D5A,
,1GZM,5D5B,
,1GZM,5D6L,
,1GZM,5DGY,
,1GZM,5DHG,
,1GZM,5DHH,
,1GZM,5DSG,
,1GZM,5DYS,
,1GZM,5EE7,
,1GZM,5EN0,
,1GZM,5F8U,
,1GZM,5G53,
,1GZM,5GLH,
,1GZM,5GLI,
,1GZM,5IU4,
,1GZM,5IU7,
,1GZM,5IU8,
,1GZM,5IUA,
,1GZM,5IUB,
,1GZM,5JQH,
,1GZM,5JTB,
,1GZM,5K2A,
,1GZM,5K2B,
,1GZM,5K2C,
,1GZM,5K2D,
,1GZM,5KW2,
,1GZM,5L7D,
,1GZM,5L7I,
,1GZM,5LWE,
,1GZM,5MZJ,
,1GZM,5MZP,
,1GZM,5N2R,
,1GZM,5N2S,
,1GZM,5NDD,
,1GZM,5NDZ,
,1GZM,5NJ6,
,1GZM,5NLX,
,1GZM,5NM2,
,1GZM,5NM4,
,1GZM,5NX2,
,1GZM,5O9H,
,1GZM,5OLG,
,1GZM,5OLH,
,1GZM,5OLO,
,1GZM,5OLV,
,1GZM,5OLZ,
,1GZM,5OM1,
,1GZM,5OM4,
,1GZM,5T04,
,1GZM,5T1A,
,1GZM,5TE3,
,1GZM,5TE5,
,1GZM,5TGZ,
,1GZM,5TUD,
,1GZM,5TVN,
,1GZM,5TZR,
,1GZM,5TZY,
,1GZM,5U09,
,1GZM,5UEN,
,1GZM,5UIG,
,1GZM,5UIW,
,1GZM,5UNF,
,1GZM,5UNG,
,1GZM,5UNH,
,1GZM,5UVI,
,1GZM,5UZ7,
,1GZM,5V54,
,1GZM,5V56,
,1GZM,5V57,
,1GZM,5VAI,
,1GZM,5VBL,
,1GZM,5VEW,
,1GZM,5VEX,
,1GZM,5VRA,
,1GZM,5W0P,
,1GZM,5WB1,
,1GZM,5WB2,
,1GZM,5WF5,
,1GZM,5WF6,
,1GZM,5WIU,
,1GZM,5WIV,
,1GZM,5WKT,
,1GZM,5WQC,
,1GZM,5WS3,
,1GZM,5X7D,
,1GZM,5X93,
,1GZM,5XEZ,
,1GZM,5XF1,
,1GZM,5XJM,
,1GZM,5XPR,
,1GZM,5XR8,
,1GZM,5XRA,
,1GZM,5YC8,
,1GZM,5YHL,
,1GZM,5YQZ,
,1GZM,5YWY,
,1GZM,5ZBH,
,1GZM,5ZBQ,
,1GZM,5ZHP,
,1GZM,5ZK3,
,1GZM,5ZK8,
,1GZM,5ZKB,
,1GZM,5ZKC,
,1GZM,5ZKP,
,1GZM,5ZKQ,
,1GZM,6AK3,
,1GZM,6AKX,
,1GZM,6AKY,
,1GZM,6AQF,
,1GZM,6B3J,
,1GZM,6B73,
,1GZM,6BD4,
,1GZM,6BQG,
,1GZM,6BQH,
,1GZM,6C1Q,
,1GZM,6C1R,
,1GZM,6CM4,
