id,gpcr1,gpcr2,rmsd,sequence
,1F88,1GZM,0.4211452305,
,1F88,1HZX,0.3278993368,
,1F88,1JFP,7.276882648,
,1F88,1L9H,0.3430385888,
,1F88,1LN6,6.732110977,
,1F88,1U19,0.3456988037,
,1F88,2G87,0.3456590772,
,1F88,2HPY,0.5123447776,
,1F88,2I35,0.6141760349,
,1F88,2I36,1.063088417,
,1F88,2I37,1.133154631,
,1F88,2J4Y,0.6605702043,
,1F88,2KS9,1.329899788,
,1F88,2KSA,1.329899788,
,1F88,2KSB,1.329899788,
,1F88,2LNL,6.253171444,
,1F88,2PED,0.365806967,
,1F88,2R4R,4.741948605,
,1F88,2R4S,4.742031097,
,1F88,2RH1,2.599589586,
,1F88,2VT4,2.794896364,
,1F88,2X72,1.755779743,
,1F88,2Y00,3.628227949,
,1F88,2Y01,3.193335295,
,1F88,2Y02,2.831805229,
,1F88,2Y03,2.401791573,
,1F88,2Y04,3.102039099,
,1F88,2YCW,2.637898207,
,1F88,2YCX,2.724261284,
,1F88,2YCY,2.483802795,
,1F88,2YCZ,3.008612394,
,1F88,2YDO,3.427340984,
,1F88,2YDV,3.527482033,
,1F88,2Z73,1.860545397,
,1F88,2ZIY,1.911488295,
,1F88,3AYM,1.849292994,
,1F88,3AYN,1.701084614,
,1F88,3C9L,0.4194041789,
,1F88,3C9M,0.6043343544,
,1F88,3CAP,1.763883114,
,1F88,3D4S,2.205141306,
,1F88,3DQB,1.763235927,
,1F88,3EML,2.974563599,
,1F88,3KJ6,4.520358562,
,1F88,3NY8,2.640325785,
,1F88,3NY9,2.272883654,
,1F88,3NYA,2.218494415,
,1F88,3OAX,0.3383383751,
,1F88,3ODU,5.792246819,
,1F88,3OE0,5.839933395,
,1F88,3OE6,3.3952231409999998,
,1F88,3OE8,5.35481596,
,1F88,3OE9,5.642295837,
,1F88,3P0G,2.794907808,
,1F88,3PBL,1.964765906,
,1F88,3PDS,2.386582851,
,1F88,3PQR,1.769399643,
,1F88,3PWH,2.954718828,
,1F88,3PXO,1.771383405,
,1F88,3QAK,3.62121892,
,1F88,3REY,2.964831829,
,1F88,3RFM,2.75365448,
,1F88,3RZE,2.929804802,
,1F88,3SN6,2.674049616,
,1F88,3UON,4.624782085,
,1F88,3UZA,3.09503603,
,1F88,3UZC,2.762114763,
,1F88,3V2W,3.097024679,
,1F88,3V2Y,3.09024024,
,1F88,3VG9,2.346885443,
,1F88,3VGA,2.43913126,
,1F88,3VW7,2.577705383,
,1F88,3ZEV,2.999721527,
,1F88,3ZPQ,2.222790003,
,1F88,3ZPR,2.758423567,
,1F88,4A4M,1.820468187,
,1F88,4AMI,2.572906971,
,1F88,4AMJ,3.031808138,
,1F88,4BEY,1.811700106,
,1F88,4BEZ,1.811342835,
,1F88,4BUO,2.796965122,
,1F88,4BV0,3.016521931,
,1F88,4BVN,2.642203093,
,1F88,4BWB,4.13599062,
,1F88,4DAJ,2.963409185,
,1F88,4DJH,2.049091339,
,1F88,4DKL,1.973010302,
,1F88,4EA3,1.863896132,
,1F88,4EIY,4.186779022,
,1F88,4EJ4,2.07939744,
,1F88,4GBR,2.037775993,
,1F88,4GPO,3.789741278,
,1F88,4GRV,5.892961502,
,1F88,4IAQ,2.932493448,
,1F88,4IAR,2.129292488,
,1F88,4IB4,3.087807178,
,1F88,4J4Q,1.750440717,
,1F88,4JKV,4.981476784,
,1F88,4K5Y,6.143678665,
,1F88,4L6R,6.326951504,
,1F88,4LDE,3.550813913,
,1F88,4LDL,2.810090065,
,1F88,4LDO,2.873390913,
,1F88,4MBS,4.640097141,
,1F88,4MQS,4.564109325,
,1F88,4MQT,2.612969637,
,1F88,4N4W,5.124334812,
,1F88,4N6H,2.273002625,
,1F88,4NC3,3.94655633,
,1F88,4NTJ,4.78619957,
,1F88,4O9R,5.820743084,
,1F88,4OO9,7.696811676,
,1F88,4OR2,5.791043758,
,1F88,4PHU,3.731957197,
,1F88,4PXF,1.759870172,
,1F88,4PXZ,5.485929966,
,1F88,4PY0,4.559527397,
,1F88,4QIM,5.150307178,
,1F88,4QIN,4.831161499,
,1F88,4QKX,2.744451761,
,1F88,4RWA,2.977684736,
,1F88,4RWD,1.937837005,
,1F88,4RWS,5.585234642,
,1F88,4S0V,2.257590055,
,1F88,4U14,2.789092302,
,1F88,4U15,2.159032822,
,1F88,4U16,2.381608486,
,1F88,4UG2,3.623328209,
,1F88,4UHR,3.292302132,
,1F88,4WW3,1.842563391,
,1F88,4X1H,1.73553133,
,1F88,4XEE,3.636881113,
,1F88,4XES,4.462325096,
,1F88,4XNV,2.836928129,
,1F88,4XNW,3.960505962,
,1F88,4XT1,3.984242439,
,1F88,4XT3,4.227546215,
,1F88,4YAY,4.230099201,
,1F88,4Z34,3.438802719,
,1F88,4Z35,3.603766918,
,1F88,4Z36,3.343750954,
,1F88,4Z9G,7.153527737,
,1F88,4ZJ8,2.324257135,
,1F88,4ZJC,2.301071882,
,1F88,4ZUD,2.896272182,
,1F88,4ZWJ,1.750836849,
,1F88,5A8E,2.182174683,
,1F88,5C1M,2.756413221,
,1F88,5CGC,5.996592999,
,1F88,5CGD,6.874351025,
,1F88,5CXV,2.989589691,
,1F88,5D5A,2.786094904,
,1F88,5D5B,2.481497526,
,1F88,5D6L,2.061271906,
,1F88,5DGY,1.750854373,
,1F88,5DHG,1.858925223,
,1F88,5DHH,2.124973774,
,1F88,5DSG,2.558651209,
,1F88,5DYS,1.703041434,
,1F88,5EE7,4.995635033,
,1F88,5EN0,1.719186544,
,1F88,5F8U,2.60869503,
,1F88,5G53,3.621100187,
,1F88,5GLH,4.579190731,
,1F88,5GLI,3.665776014,
,1F88,5IU4,4.261651516,
,1F88,5IU7,4.085420132,
,1F88,5IU8,4.267170429,
,1F88,5IUA,4.05706501,
,1F88,5IUB,4.246020794,
,1F88,5JQH,1.980611324,
,1F88,5JTB,4.277957439,
,1F88,5K2A,4.190895557,
,1F88,5K2B,4.316177845,
,1F88,5K2C,4.177129269,
,1F88,5K2D,4.188625336,
,1F88,5KW2,4.095362663,
,1F88,5L7D,6.8607831,
,1F88,5L7I,4.382846832,
,1F88,5LWE,3.265302658,
,1F88,5MZJ,4.603496552,
,1F88,5MZP,4.231106758,
,1F88,5N2R,3.386515856,
,1F88,5N2S,2.42794013,
,1F88,5NDD,3.03528738,
,1F88,5NDZ,2.963797808,
,1F88,5NJ6,3.233443975,
,1F88,5NLX,4.2134552,
,1F88,5NM2,4.036394119,
,1F88,5NM4,4.285131454,
,1F88,5NX2,7.0330019,
,1F88,5O9H,3.876457214,
,1F88,5OLG,4.344368458,
,1F88,5OLH,4.472634792,
,1F88,5OLO,4.199137688,
,1F88,5OLV,4.372355938,
,1F88,5OLZ,4.233196735,
,1F88,5OM1,4.039290428,
,1F88,5OM4,4.043342113,
,1F88,5T04,3.547878742,
,1F88,5T1A,2.736056328,
,1F88,5TE3,1.700310707,
