id,pdb_id,gpcr_name,gpcr_class,subfamily,uniprot_id,species,description,method,resolution,pubmed_id,deposition_date,reference,gene_name,raw_pdb_file,mapping_pdb_file,fasta
,1F88,RHODOPSIN,a,OPSINS,P02699,BOS TAURUS (BOVINE),CRYSTAL STRUCTURE OF BOVINE RHODOPSIN,x,2.8,10926528,2000-06-29,"PALCZEWSKI ET AL. CRYSTAL STRUCTURE OF RHODOPSIN: A G PROTEIN-COUPLED RECEPTOR. SCIENCE. 2000, 289, 739.",RHO,raw_pdbs/1F88.pdb,mapped_pdb/1F88_atlas.pdb,fastas/1F88.fasta
,1GZM,RHODOPSIN,a,OPSINS,P02699,BOS TAURUS (BOVINE),STRUCTURE OF BOVINE RHODOPSIN IN A TRIGONAL CRYSTAL FORM,x,2.65,15491621,2002-05-24,"LI ET AL. STRUCTURE OF BOVINE RHODOPSIN IN A TRIGONAL CRYSTAL FORM. J.MOL.BIOL. 2004, 343, 1409.",RHO,raw_pdbs/1GZM.pdb,mapped_pdb/1GZM_atlas.pdb,fastas/1GZM.fasta
,1HZX,RHODOPSIN,a,OPSINS,P02699,BOS TAURUS (BOVINE),CRYSTAL STRUCTURE OF BOVINE RHODOPSIN,x,2.8,11425302,2001-01-26,"TELLER ET AL. ADVANCES IN DETERMINATION OF A HIGH-RESOLUTION THREE-DIMENSIONAL STRUCTURE OF RHODOPSIN, A MODEL OF G-PROTEIN-COUPLED RECEPTORS (GPCRS). BIOCHEMISTRY. 2001, 40, 7761.",RHO,raw_pdbs/1HZX.pdb,mapped_pdb/1HZX_atlas.pdb,fastas/1HZX.fasta
,1JFP,RHODOPSIN,a,OPSINS,P02699,BOS TAURUS (BOVINE),STRUCTURE OF BOVINE RHODOPSIN (DARK ADAPTED),n,,11570894,2001-06-21,"YEAGLE ET AL. STUDIES ON THE STRUCTURE OF THE G-PROTEIN-COUPLED RECEPTOR RHODOPSIN INCLUDING THE PUTATIVE G-PROTEIN BINDING SITE IN UNACTIVATED AND ACTIVATED FORMS. BIOCHEMISTRY. 2001, 40, 11932.",RHO,raw_pdbs/1JFP.pdb,mapped_pdb/1JFP_atlas.pdb,fastas/1JFP.fasta
,1L9H,RHODOPSIN,a,OPSINS,P02699,BOS TAURUS (BOVINE),CRYSTAL STRUCTURE OF BOVINE RHODOPSIN AT 2.6 ANGSTROMS RESOLUTION,x,2.6,11972040,2002-03-23,"OKADA ET AL. FUNCTIONAL ROLE OF INTERNAL WATER MOLECULES IN RHODOPSIN REVEALED BY X-RAY CRYSTALLOGRAPHY. PROC.NATL.ACAD.SCI.USA. 2002, 99, 5982.",RHO,raw_pdbs/1L9H.pdb,mapped_pdb/1L9H_atlas.pdb,fastas/1L9H.fasta
,1LN6,RHODOPSIN,a,OPSINS,P02699,BOS TAURUS (BOVINE),STRUCTURE OF BOVINE RHODOPSIN (METARHODOPSIN II),n,,12044163,2002-05-03,"CHOI ET AL. STRUCTURAL STUDIES OF METARHODOPSIN II, THE ACTIVATED FORM OF THE G-PROTEIN COUPLED RECEPTOR, RHODOPSIN. BIOCHEMISTRY. 2002, 41, 7318.",RHO,raw_pdbs/1LN6.pdb,mapped_pdb/1LN6_atlas.pdb,fastas/1LN6.fasta
,1U19,RHODOPSIN,a,OPSINS,P02699,BOS TAURUS (BOVINE),CRYSTAL STRUCTURE OF BOVINE RHODOPSIN AT 2.2 ANGSTROMS RESOLUTION,x,2.2,15327956,2004-07-15,"OKADA ET AL. THE RETINAL CONFORMATION AND ITS ENVIRONMENT IN RHODOPSIN IN LIGHT OF A NEW 22 A CRYSTAL STRUCTURE. J.MOL.BIOL. 2004, 342, 571.",RHO,raw_pdbs/1U19.pdb,mapped_pdb/1U19_atlas.pdb,fastas/1U19.fasta
,2G87,RHODOPSIN,a,OPSINS,P02699,BOS TAURUS (BOVINE),CRYSTALLOGRAPHIC MODEL OF BATHORHODOPSIN,x,2.6,16586416,2006-03-02,"NAKAMICHI ET AL. CRYSTALLOGRAPHIC ANALYSIS OF PRIMARY VISUAL PHOTOCHEMISTRY. ANGEW.CHEM.INT.ED.ENGL. 2006, 45, 4270.",RHO,raw_pdbs/2G87.pdb,mapped_pdb/2G87_atlas.pdb,fastas/2G87.fasta
,2HPY,RHODOPSIN,a,OPSINS,P02699,BOS TAURUS (BOVINE),CRYSTALLOGRAPHIC MODEL OF LUMIRHODOPSIN,x,2.8,16908857,2006-07-18,"NAKAMICHI ET AL. LOCAL PEPTIDE MOVEMENT IN THE PHOTOREACTION INTERMEDIATE OF RHODOPSIN. PROC.NATL.ACAD.SCI.USA. 2006, 103, 12729.",RHO,raw_pdbs/2HPY.pdb,mapped_pdb/2HPY_atlas.pdb,fastas/2HPY.fasta
,2I35,RHODOPSIN,a,OPSINS,P02699,BOS TAURUS (BOVINE),CRYSTAL STRUCTURE OF RHOMBOHEDRAL CRYSTAL FORM OF GROUND-STATE RHODOPSIN,x,3.8,17060607,2006-08-17,"SALOM ET AL. CRYSTAL STRUCTURE OF A PHOTOACTIVATED DEPROTONATED INTERMEDIATE OF RHODOPSIN. PROC.NATL.ACAD.SCI.USA. 2006, 103, 16123.",RHO,raw_pdbs/2I35.pdb,mapped_pdb/2I35_atlas.pdb,fastas/2I35.fasta
,2I36,RHODOPSIN,a,OPSINS,P02699,BOS TAURUS (BOVINE),CRYSTAL STRUCTURE OF TRIGONAL CRYSTAL FORM OF GROUND-STATE RHODOPSIN,x,4.1,17060607,2006-08-17,"SALOM ET AL. CRYSTAL STRUCTURE OF A PHOTOACTIVATED DEPROTONATED INTERMEDIATE OF RHODOPSIN. PROC.NATL.ACAD.SCI.USA. 2006, 103, 16123.",RHO,raw_pdbs/2I36.pdb,mapped_pdb/2I36_atlas.pdb,fastas/2I36.fasta
,2I37,RHODOPSIN,a,OPSINS,P02699,BOS TAURUS (BOVINE),CRYSTAL STRUCTURE OF A PHOTOACTIVATED RHODOPSIN,x,4.15,17060607,2006-08-17,"SALOM ET AL. CRYSTAL STRUCTURE OF A PHOTOACTIVATED DEPROTONATED INTERMEDIATE OF RHODOPSIN. PROC.NATL.ACAD.SCI.USA. 2006, 103, 16123.",RHO,raw_pdbs/2I37.pdb,mapped_pdb/2I37_atlas.pdb,fastas/2I37.fasta
,2J4Y,RHODOPSIN,a,OPSINS,P02699,BOS TAURUS (BOVINE),CRYSTAL STRUCTURE OF A RHODOPSIN STABILIZING MUTANT EXPRESSED IN MAMMALIAN CELLS,x,3.4,17825322,2006-09-07,"STANDFUSS ET AL. CRYSTAL STRUCTURE OF A THERMALLY STABLE RHODOPSIN MUTANT. J.MOL.BIOL. 2007, 372, 1179.",RHO,raw_pdbs/2J4Y.pdb,mapped_pdb/2J4Y_atlas.pdb,fastas/2J4Y.fasta
,2KS9,SUBSTANCE-P RECEPTOR,a,TACHYKININ RECEPTORS,P25103,HOMO SAPIENS (HUMAN),SOLUTION CONFORMATION OF SUBSTANCE P IN WATER COMPLEXED WITH NK1R,n,,20937248,2009-12-31,GAYEN ET AL. NMR EVIDENCE OF GM1-INDUCED CONFORMATIONAL CHANGE OF SUBSTANCE P USING ISOTROPIC BICELLES. BIOCHIM.BIOPHYS.ACTA. 2010.,TACR1,raw_pdbs/2KS9.pdb,mapped_pdb/2KS9_atlas.pdb,fastas/2KS9.fasta
